% Model,cmt.mph
% Version,COMSOL 6.3.0.420
% Date,"Sep 5 2025, 06:53"
% Table,Accumulated Probe Table 2 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21,neff2,xpol1,ypol1,zpol1,xpol2,ypol2,zpol2
1.0E-8,1.4987921057613849+9.948270714711092E-9i,0.11774252169261668+5.35584592800469E-15i,0.11774257712506618-5.35584844950376E-15i,610370.2694985018,610381.1743110643,98095.45762036266+4.536309651254636E-9i,98124.84939626392-4.623323530052706E-9i,2.4041627639544965-1.2347670437091718E-15i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203432,0.013236728497592897,0.2822575653820644
1.0E-8,2.4041627639544965-1.2347670437091718E-15i,0.11774252169261668+5.35584592800469E-15i,0.11774257712506618-5.35584844950376E-15i,610370.2694985018,610381.1743110643,98095.45762036266+4.536309651254636E-9i,98124.84939626392-4.623323530052706E-9i,2.4041627639544965-1.2347670437091718E-15i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203432,0.013236728497592897,0.2822575653820644
1.5E-8,1.498792105761383+9.948271401030215E-9i,0.1125024512666944-4.103246542548001E-15i,0.11250241824989039+4.103245338342354E-15i,547754.7820447382,547765.2714568935,93799.17911510525-2.4687519470478437E-9i,93796.6423332196+3.346943627691998E-9i,2.404162763954496-4.115890145697242E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203417,0.013236728497592751,0.28225756538206437
1.5E-8,2.404162763954496-4.115890145697242E-16i,0.1125024512666944-4.103246542548001E-15i,0.11250241824989039+4.103245338342354E-15i,547754.7820447382,547765.2714568935,93799.17911510525-2.4687519470478437E-9i,93796.6423332196+3.346943627691998E-9i,2.404162763954496-4.115890145697242E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203417,0.013236728497592751,0.28225756538206437
2.0E-8,1.498792105761383+9.948271401030217E-9i,0.10750089253120695-4.7569642729892455E-15i,0.10750083727210556+4.75696182774842E-15i,491794.0541354366,491805.9523803497,89651.06187056216-3.5173914393121135E-9i,89636.24832242136+3.887788152636937E-9i,2.4041627639544916,0.704505706120339,0.013236728497593248,0.2822575653820664,0.7045057061203412,0.01323672849759105,0.28225756538206787
2.0E-8,2.4041627639544916,0.10750089253120695-4.7569642729892455E-15i,0.10750083727210556+4.75696182774842E-15i,491794.0541354366,491805.9523803497,89651.06187056216-3.5173914393121135E-9i,89636.24832242136+3.887788152636937E-9i,2.4041627639544916,0.704505706120339,0.013236728497593248,0.2822575653820664,0.7045057061203412,0.01323672849759105,0.28225756538206787
2.5E-8,1.4987921057613849+9.948270371551546E-9i,0.10273411385022228-1.7098325432822135E-14i,0.10273433066613678+1.7098361518100198E-14i,441748.6449944562,441754.32602303557,85705.88770022274-1.3624422693755851E-8i,85704.20806629337+1.4152843935228215E-8i,2.4041627639544907-4.1158901456972783E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.70450570612034,0.013236728497593239,0.28225756538206614
2.5E-8,2.4041627639544907-4.1158901456972783E-16i,0.10273411385022228-1.7098325432822135E-14i,0.10273433066613678+1.7098361518100198E-14i,441748.6449944562,441754.32602303557,85705.88770022274-1.3624422693755851E-8i,85704.20806629337+1.4152843935228215E-8i,2.4041627639544907-4.1158901456972783E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.70450570612034,0.013236728497593239,0.28225756538206614
5.0E-8,1.498792105761378+9.948271057870717E-9i,0.08198749954947251-3.379827414511987E-14i,0.08198741759398656+3.379824036004291E-14i,259676.8560209326,259687.98054765363,68446.2797742153-2.6468929528767432E-8i,68434.64856848012+2.8354594545302382E-8i,2.404162763954497,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203399,0.013236728497593109,0.28225756538206614
5.0E-8,2.404162763954497,0.08198749954947251-3.379827414511987E-14i,0.08198741759398656+3.379824036004291E-14i,259676.8560209326,259687.98054765363,68446.2797742153-2.6468929528767432E-8i,68434.64856848012+2.8354594545302382E-8i,2.404162763954497,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203399,0.013236728497593109,0.28225756538206614
7.5E-8,1.4987921057613884+9.948271057870614E-9i,0.06554031102402587-2.967468555634934E-14i,0.06554061092831348+2.967482134400876E-14i,153727.43197787096,153732.1304662037,54600.86789572549-2.4529262663959344E-8i,54587.14765263593+2.4751351389227614E-8i,2.404162763954497-8.23178029139447E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.704505706120342,0.01323672849759055,0.2822575653820677
7.5E-8,2.404162763954497-8.23178029139447E-16i,0.06554031102402587-2.967468555634934E-14i,0.06554061092831348+2.967482134400876E-14i,153727.43197787096,153732.1304662037,54600.86789572549-2.4529262663959344E-8i,54587.14765263593+2.4751351389227614E-8i,2.404162763954497-8.23178029139447E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.704505706120342,0.01323672849759055,0.2822575653820677
1.0E-7,1.498792105761371+9.948270028392133E-9i,0.05246685670565576+2.8610939403758604E-16i,0.052466818769112834-2.8610918716410453E-16i,91540.35597196469,91519.34524646909,43489.413404229635+6.025717196176015E-10i,43502.83392951683-6.114818003227232E-11i,2.404162763954492-6.173835218545901E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203415,0.013236728497592656,0.2822575653820652
1.0E-7,2.404162763954492-6.173835218545901E-16i,0.05246685670565576+2.8610939403758604E-16i,0.052466818769112834-2.8610918716410453E-16i,91540.35597196469,91519.34524646909,43489.413404229635+6.025717196176015E-10i,43502.83392951683-6.114818003227232E-11i,2.404162763954492-6.173835218545901E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203415,0.013236728497592656,0.2822575653820652
1.5E-7,1.498792105761383+9.948270028392011E-9i,0.03375560456429603+1.1074323200523008E-15i,0.033755704606344326-1.1074356021679398E-15i,32872.20854590571,32910.723974913,27585.287382263752+6.084714562991365E-11i,27581.07050446373-9.578215295779477E-10i,2.404162763954493-1.0289725364243161E-15i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203419,0.013236728497590741,0.28225756538206764
1.5E-7,2.404162763954493-1.0289725364243161E-15i,0.03375560456429603+1.1074323200523008E-15i,0.033755704606344326-1.1074356021679398E-15i,32872.20854590571,32910.723974913,27585.287382263752+6.084714562991365E-11i,27581.07050446373-9.578215295779477E-10i,2.404162763954493-1.0289725364243161E-15i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203419,0.013236728497590741,0.28225756538206764
2.0E-7,1.4987921057613787+9.948271057870708E-9i,0.021802796151894878-4.444238201298681E-15i,0.02180276809259957+4.444232481748253E-15i,11991.331779789749,12034.291638131175,17411.853030648017-3.5469135979788905E-9i,17414.010589532973+3.670044107356765E-9i,2.404162763954492-6.173835218545904E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203402,0.013236728497592824,0.2822575653820654
2.0E-7,2.404162763954492-6.173835218545904E-16i,0.021802796151894878-4.444238201298681E-15i,0.02180276809259957+4.444232481748253E-15i,11991.331779789749,12034.291638131175,17411.853030648017-3.5469135979788905E-9i,17414.010589532973+3.670044107356765E-9i,2.404162763954492-6.173835218545904E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203402,0.013236728497592824,0.2822575653820654
2.5E-7,1.4987921057613773+9.948270028392067E-9i,0.014109088565894993-7.577467605310325E-15i,0.014109090452894942+7.577468618747935E-15i,4459.5526204914395,4412.902202789577,10932.874744638317-5.744945940897329E-9i,10986.505327469433+5.881225178732919E-9i,2.4041627639544934,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203422,0.013236728497593105,0.2822575653820652
2.5E-7,2.4041627639544934,0.014109088565894993-7.577467605310325E-15i,0.014109090452894942+7.577468618747935E-15i,4459.5526204914395,4412.902202789577,10932.874744638317-5.744945940897329E-9i,10986.505327469433+5.881225178732919E-9i,2.4041627639544934,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203422,0.013236728497593105,0.2822575653820652
3.0E-7,1.4987921057613756+9.948271401030291E-9i,0.009122527185018634-1.111457762820959E-15i,0.009122531942134707+1.111458342411842E-15i,1655.5340295830654,1768.9169293445857,6986.753080118345-8.688292725781554E-10i,6899.739030450504+9.290728782486281E-10i,2.404162763954491,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203396,0.0132367284975932,0.28225756538206737
3.0E-7,2.404162763954491,0.009122527185018634-1.111457762820959E-15i,0.009122531942134707+1.111458342411842E-15i,1655.5340295830654,1768.9169293445857,6986.753080118345-8.688292725781554E-10i,6899.739030450504+9.290728782486281E-10i,2.404162763954491,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203396,0.0132367284975932,0.28225756538206737
4.0E-7,1.4987921057613849+9.948271057870647E-9i,0.0038270133255073227-5.424841938369098E-16i,0.0038270050745162747+5.424830242480304E-16i,234.21041685357338,212.24348027875823,2661.6540401931434-7.335558492755478E-10i,2724.943979196182+6.428868529398414E-10i,2.4041627639544942-4.115890145697249E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203435,0.013236728497590201,0.2822575653820658
4.0E-7,2.4041627639544942-4.115890145697249E-16i,0.0038270133255073227-5.424841938369098E-16i,0.0038270050745162747+5.424830242480304E-16i,234.21041685357338,212.24348027875823,2661.6540401931434-7.335558492755478E-10i,2724.943979196182+6.428868529398414E-10i,2.4041627639544942-4.115890145697249E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203435,0.013236728497590201,0.2822575653820658
5.0E-7,1.4987921057613809+9.948271744189788E-9i,0.0016225960574900078-6.272036324251879E-16i,0.0016225908603560255+6.272016235078751E-16i,39.23654195478839,42.26668586260478,1124.3452800122002+4.762470629564989E-10i,1123.9075920680918+1.01601466066109E-9i,2.4041627639544925,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203419,0.013236728497590698,0.282257565382068
5.0E-7,2.4041627639544925,0.0016225960574900078-6.272036324251879E-16i,0.0016225908603560255+6.272016235078751E-16i,39.23654195478839,42.26668586260478,1124.3452800122002+4.762470629564989E-10i,1123.9075920680918+1.01601466066109E-9i,2.4041627639544925,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203419,0.013236728497590698,0.282257565382068
6.0E-7,1.498792105761375+9.948270028392095E-9i,6.573323193911323E-4+1.3735805386177496E-17i,6.573314114084321E-4-1.3735786412709589E-17i,5.178292108244566,5.090848676555447,388.8978130083849+1.217032370947826E-9i,412.15916036559673+1.0581946962244643E-9i,2.404162763954493-4.1158901456972615E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203395,0.013236728497593287,0.2822575653820675
6.0E-7,2.404162763954493-4.1158901456972615E-16i,6.573323193911323E-4+1.3735805386177496E-17i,6.573314114084321E-4-1.3735786412709589E-17i,5.178292108244566,5.090848676555447,388.8978130083849+1.217032370947826E-9i,412.15916036559673+1.0581946962244643E-9i,2.404162763954493-4.1158901456972615E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203395,0.013236728497593287,0.2822575653820675
7.5E-7,1.498792105761383+9.948271744189766E-9i,1.9454280003611968E-4+3.763169388121234E-16i,1.945421669039495E-4-3.763157141029074E-16i,0.41767752959282445,0.44136986627666486,118.73838090723648+3.4551357715895927E-9i,121.30756949694093+7.34764246447368E-10i,2.404162763954497-1.2347670437091696E-15i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203392,0.013236728497593182,0.28225756538206603
7.5E-7,2.404162763954497-1.2347670437091696E-15i,1.9454280003611968E-4+3.763169388121234E-16i,1.945421669039495E-4-3.763157141029074E-16i,0.41767752959282445,0.44136986627666486,118.73838090723648+3.4551357715895927E-9i,121.30756949694093+7.34764246447368E-10i,2.404162763954497-1.2347670437091696E-15i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203392,0.013236728497593182,0.28225756538206603
8.0E-7,1.4987921057613873+9.94827277366838E-9i,1.203388183391421E-4-1.2947641164595017E-15i,1.2033859277628597E-4+1.2947616895560623E-15i,0.19349661631338802,0.19791692449500506,71.89342451200332-8.692246411690142E-9i,74.0187868984873+4.2493745875548267E-10i,2.40416276395449,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203421,0.013236728497590567,0.2822575653820681
8.0E-7,2.40416276395449,1.203388183391421E-4-1.2947641164595017E-15i,1.2033859277628597E-4+1.2947616895560623E-15i,0.19349661631338802,0.19791692449500506,71.89342451200332-8.692246411690142E-9i,74.0187868984873+4.2493745875548267E-10i,2.40416276395449,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203421,0.013236728497590567,0.2822575653820681
1.0E-6,1.4987921057613762+9.948271057870735E-9i,2.113262227404113E-5+2.150237831376982E-16i,2.1132640697533015E-5-2.150239705961627E-16i,0.005487926214878157,0.005006911119962329,7.752674200561069+7.622988077748344E-10i,7.055521400404603-2.871541908838932E-10i,2.404162763954494,0.704505706120339,0.013236728497593248,0.2822575653820664,0.7045057061203399,0.013236728497593102,0.28225756538206603
1.0E-6,2.404162763954494,2.113262227404113E-5+2.150237831376982E-16i,2.1132640697533015E-5-2.150239705961627E-16i,0.005487926214878157,0.005006911119962329,7.752674200561069+7.622988077748344E-10i,7.055521400404603-2.871541908838932E-10i,2.404162763954494,0.704505706120339,0.013236728497593248,0.2822575653820664,0.7045057061203399,0.013236728497593102,0.28225756538206603
1.1E-6,1.4987921057613747+9.948269342072994E-9i,1.1319503132548046E-5-2.456862354101258E-16i,1.1319498802787909E-5+2.456861414340514E-16i,0.0012319078780398324,0.0010930862838418565,6.232217422112559+2.0306003217153365E-10i,8.44294026956153-2.352998678563428E-10i,2.404162763954494-4.1158901456972536E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203395,0.013236728497593043,0.2822575653820667
1.1E-6,2.404162763954494-4.1158901456972536E-16i,1.1319503132548046E-5-2.456862354101258E-16i,1.1319498802787909E-5+2.456861414340514E-16i,0.0012319078780398324,0.0010930862838418565,6.232217422112559+2.0306003217153365E-10i,8.44294026956153-2.352998678563428E-10i,2.404162763954494-4.1158901456972536E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203395,0.013236728497593043,0.2822575653820667
1.25E-6,1.4987921057613827+9.948270714711115E-9i,2.7605825980124858E-6+4.719186489333025E-17i,2.7605867270050853E-6-4.719193547801807E-17i,2.2928714365669697E-4,1.225868962794248E-4,0.8768034037962179+4.503838420870186E-10i,2.3944776033093427+5.873492179143381E-10i,2.4041627639544934-4.115890145697258E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203419,0.013236728497590895,0.28225756538206703
1.25E-6,2.4041627639544934-4.115890145697258E-16i,2.7605825980124858E-6+4.719186489333025E-17i,2.7605867270050853E-6-4.719193547801807E-17i,2.2928714365669697E-4,1.225868962794248E-4,0.8768034037962179+4.503838420870186E-10i,2.3944776033093427+5.873492179143381E-10i,2.4041627639544934-4.115890145697258E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203419,0.013236728497590895,0.28225756538206703
1.35E-6,1.4987921057613642+9.948272087349507E-9i,7.526205384922718E-7+5.672232489561041E-17i,7.526213851197888E-7-5.67223887029059E-17i,6.138778009214525E-5,2.518228648581176E-5,0.06481486518044352+1.938740029097416E-9i,0.1901232074001574+1.3565913165495913E-9i,2.40416276395449-6.17383521854593E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203372,0.013236728497593454,0.2822575653820674
1.35E-6,2.40416276395449-6.17383521854593E-16i,7.526205384922718E-7+5.672232489561041E-17i,7.526213851197888E-7-5.67223887029059E-17i,6.138778009214525E-5,2.518228648581176E-5,0.06481486518044352+1.938740029097416E-9i,0.1901232074001574+1.3565913165495913E-9i,2.40416276395449-6.17383521854593E-16i,0.704505706120339,0.013236728497593244,0.2822575653820664,0.7045057061203372,0.013236728497593454,0.2822575653820674
1.5E-6,1.498792105761383+9.948271744189766E-9i,2.1854630115384912E-7+2.390492498290338E-16i,2.1854613766979082E-7-2.390490710076981E-16i,2.002734701033917E-5,3.2844203618854682E-6,0.44913846153959264+3.1130825965710627E-9i,-0.4444012184178757+1.950039049891565E-9i,2.404162763954494-6.173835218545881E-16i,0.704505706120339,0.013236728497593248,0.2822575653820664,0.7045057061203431,0.013236728497592568,0.2822575653820633
1.5E-6,2.404162763954494-6.173835218545881E-16i,2.1854630115384912E-7+2.390492498290338E-16i,2.1854613766979082E-7-2.390490710076981E-16i,2.002734701033917E-5,3.2844203618854682E-6,0.44913846153959264+3.1130825965710627E-9i,-0.4444012184178757+1.950039049891565E-9i,2.404162763954494-6.173835218545881E-16i,0.704505706120339,0.013236728497593248,0.2822575653820664,0.7045057061203431,0.013236728497592568,0.2822575653820633
